Player,Team,Proj Min,Confidence,Injury,L5,L10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
Nickeil Alexander-Walker,ATL,35.2,high,Available,37.5,36.4,34.8,37.5,38.2,39.3,0.0,31.9,39.2,39.0,34.4,33.3
Jalen Johnson,ATL,34.3,high,Available,37.0,34.3,34.8,38.5,35.6,38.9,0.0,25.1,34.0,40.6,27.5,33.5
Onyeka Okongwu,ATL,33.4,high,Available,33.2,31.8,28.4,37.1,29.9,37.5,0.0,26.8,32.9,36.7,26.6,30.6
CJ McCollum,ATL,31.5,high,Available,34.1,31.8,32.0,35.2,35.4,33.7,0.0,24.1,32.1,34.6,25.4,33.6
Dyson Daniels,ATL,29.7,high,Available,31.3,31.8,29.9,33.4,26.2,35.9,0.0,29.5,33.0,37.9,29.5,31.1
Jonathan Kuminga,ATL,26.9,medium,Available,28.9,25.6,25.4,28.4,34.7,27.0,0.0,23.4,30.5,22.1,20.5,18.6
Jock Landale,ATL,,,Out,23.4,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6
Keshon Gilbert,ATL,,,Available,18.5,0.0,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0
Gabe Vincent,ATL,13.0,medium,Available,14.1,13.1,13.7,13.7,14.2,14.8,0.0,14.3,14.6,10.3,9.8,12.2
Mouhamed Gueye,ATL,11.1,medium,Available,9.4,11.3,11.0,10.9,5.0,10.6,0.0,12.1,16.4,7.7,17.4,10.8
Christian Koloko,ATL,,,Available,9.2,10.4,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,4.0,0.0
RayJ Dennis,ATL,,,Available,9.0,6.5,0.0,0.0,0.0,0.0,26.6,0.0,0.0,0.0,0.0,0.0
Buddy Hield,ATL,,,Available,8.8,11.3,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,4.0,0.0
Corey Kispert,ATL,7.4,low,Available,13.4,12.1,10.8,5.2,8.8,0.0,28.6,9.1,7.3,0.0,15.1,0.0
Tony Bradley,ATL,5.6,low,Available,13.8,10.8,7.5,0.0,12.0,0.0,21.8,9.1,0.0,3.6,0.0,0.0
Zaccharie Risacher,ATL,5.6,low,Available,10.1,11.7,3.9,0.0,0.0,2.5,23.9,18.7,0.0,7.4,12.5,13.3
Keaton Wallace,ATL,0.7,low,Available,0.0,10.1,3.9,0.0,0.0,0.0,32.1,7.9,0.0,0.0,4.0,2.8
Asa Newell,ATL,0.7,low,Available,0.0,11.8,3.9,0.0,0.0,0.0,38.9,8.0,0.0,0.0,5.3,2.8
Jayson Tatum,BOS,37,high,Available,37.2,36.6,34.9,42.4,39.0,32.4,0.0,0.0,39.8,38.9,34.0,31.1
Jaylen Brown,BOS,36,high,Available,34.9,34.6,31.1,40.4,38.2,30.0,0.0,28.7,0.0,43.2,35.4,30.2
Derrick White,BOS,34,high,Available,34.5,32.7,32.5,33.8,38.9,32.7,0.0,15.9,37.5,36.6,34.9,31.5
Payton Pritchard,BOS,32,high,Available,32.2,31.2,34.6,33.3,26.7,34.4,0.0,29.6,35.5,29.7,30.2,26.5
Nikola Vucevic,BOS,22,medium,Available,21.3,20.4,18.9,30.5,18.3,17.5,0.0,18.8,23.8,22.7,13.0,0.0
Sam Hauser,BOS,22,medium,Available,23.4,24.7,21.9,17.9,25.1,28.5,0.0,27.9,31.5,16.2,26.5,26.6
Neemias Queta,BOS,18,medium,Available,18.3,22.1,17.4,12.8,27.8,15.1,0.0,13.1,24.2,25.3,33.9,28.9
Baylor Scheierman,BOS,15.2,medium,Available,18.4,19.6,14.2,12.1,11.4,15.3,38.8,24.9,30.4,9.1,16.8,22.7
Jordan Walsh,BOS,13.2,medium,Available,16.3,16.5,12.3,12.6,9.0,14.7,33.1,22.0,17.4,18.2,13.1,12.4
John Tonje,BOS,,,Available,9.5,8.4,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0
Luka Garza,BOS,9.2,low,Available,13.9,14.0,10.9,4.3,1.9,14.2,38.0,16.1,0.0,0.0,0.0,12.4
Max Shulga,BOS,,,Available,7.5,0.0,2.8,0.0,1.9,0.0,17.8,5.6,0.0,0.0,0.0,0.0
Amari Williams,BOS,,,Available,5.4,4.2,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0
Ron Harper Jr.,BOS,1.2,low,Available,11.4,9.1,2.8,0.0,1.9,4.2,36.6,12.0,0.0,0.0,1.1,5.2
Dalano Banton,BOS,0.7,low,Available,11.2,9.3,2.8,0.0,0.0,0.0,36.5,0.0,0.0,0.0,0.0,0.0
Hugo Gonzalez,BOS,,,Available,0.0,7.3,2.8,0.0,0.0,1.0,0.0,25.4,0.0,0.0,1.1,6.2
OG Anunoby,NY,37,high,Available,38.0,34.5,39.8,36.6,37.9,37.9,0.0,15.4,36.2,36.9,30.5,39.7
Jalen Brunson,NY,36,high,Available,36.4,35.4,33.9,40.3,35.1,36.4,0.0,31.3,36.9,39.2,29.9,0.0
Josh Hart,NY,35,high,Available,35.9,32.4,31.1,40.0,35.4,36.9,0.0,30.0,34.5,30.6,28.2,24.9
Karl-Anthony Towns,NY,32,high,Available,32.5,31.4,29.3,34.1,33.8,32.6,0.0,29.9,30.4,32.0,0.0,29.5
Mikal Bridges,NY,30,high,Available,21.8,26.3,19.3,20.5,37.0,31.6,0.4,33.1,30.9,31.9,22.7,35.9
Miles McBride,NY,24,medium,Available,22.5,20.5,22.8,31.2,13.2,21.0,24.3,0.0,19.3,19.7,12.7,0.0
Jordan Clarkson,NY,16,medium,Available,15.2,13.8,20.6,16.9,11.1,11.5,15.7,18.2,14.2,8.8,9.4,11.2
Mitchell Robinson,NY,15,medium,Available,14.8,17.2,15.1,11.4,18.1,14.5,0.0,0.0,18.8,19.6,22.9,0.0
Jose Alvarado,NY,12,low,Available,15.6,17.8,13.8,5.9,8.9,0.0,33.8,18.1,0.0,0.0,12.0,32.0
Landry Shamet,NY,,,Available,8.4,16.2,3.6,3.1,9.5,17.5,0.0,28.4,18.9,21.2,12.7,30.6
Trey Jemison,NY,,,Available,6.8,7.1,0.0,0.0,0.0,0.0,18.0,2.6,0.0,0.0,0.0,0.0
Dillon Jones,NY,,,Available,6.8,5.6,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0
Kevin McCullar Jr.,NY,,,Available,6.6,7.7,0.0,0.0,0.0,0.0,24.7,0.0,0.0,0.0,0.0,0.0
